Age,Gender,HSC_P,SSC_P,Stream,Internships,CGPA,HistoryOfBacklogs,Placed
22,Male,81,77,Electronics And Communication,1,8,1,1
21,Female,80,69,Computer Science,0,7,1,1
22,Female,84,83,Information Technology,1,6,0,1
21,Male,91,88,Information Technology,0,8,1,1
22,Male,84,69,Mechanical,0,8,0,1
22,Male,86,73,Electronics And Communication,0,6,0,0
21,Male,89,66,Computer Science,0,7,1,0
21,Male,70,79,Information Technology,1,7,0,0
21,Male,71,70,Computer Science,2,6,0,1
21,Female,90,79,Computer Science,1,6,0,0
22,Male,89,70,Computer Science,1,7,0,0
22,Female,74,89,Electrical,1,8,1,1
21,Female,73,80,Computer Science,2,6,1,0
21,Male,74,73,Computer Science,1,8,1,1
21,Female,86,88,Electronics And Communication,2,8,0,1
22,Male,96,87,Mechanical,0,8,0,1
22,Female,91,77,Computer Science,1,7,0,0
21,Male,80,77,Civil,0,6,0,0
21,Male,86,94,Computer Science,1,7,0,0
22,Male,81,69,Computer Science,1,7,0,0
22,Male,86,92,Civil,0,8,0,1
21,Male,91,88,Computer Science,1,6,0,0
22,Male,88,90,Civil,0,7,0,0
22,Male,84,66,Electronics And Communication,1,7,1,0
22,Male,91,83,Electronics And Communication,0,7,0,0
21,Male,70,91,Electrical,0,8,0,1
22,Male,83,69,Electrical,1,8,0,1
22,Male,84,74,Information Technology,1,8,0,1
22,Male,73,77,Information Technology,1,8,0,1
21,Male,72,85,Information Technology,0,6,0,1
22,Male,77,85,Mechanical,1,8,0,1
21,Male,96,75,Electrical,1,7,0,1
21,Female,72,70,Civil,1,7,0,0
21,Male,78,66,Electrical,0,7,0,0
21,Male,73,87,Computer Science,1,6,0,1
21,Male,74,77,Information Technology,1,6,0,0
22,Male,72,92,Civil,0,7,0,1
22,Male,75,76,Computer Science,1,8,0,1
22,Male,94,67,Information Technology,1,6,0,0
22,Male,80,74,Electronics And Communication,0,8,1,1
22,Male,75,72,Electrical,1,6,1,0
22,Male,96,79,Civil,0,8,0,1
21,Male,70,88,Electrical,1,7,1,1
21,Male,75,70,Electrical,1,7,0,1
22,Female,76,68,Information Technology,2,8,0,1
21,Female,92,74,Electronics And Communication,3,6,0,1
22,Male,75,91,Computer Science,1,8,0,1
21,Male,73,89,Electronics And Communication,1,7,1,1
21,Male,80,84,Information Technology,2,7,0,1
21,Female,93,69,Electronics And Communication,0,7,0,0
22,Male,77,73,Electronics And Communication,0,8,0,1
21,Male,84,77,Electrical,1,8,0,1
21,Female,78,77,Computer Science,1,8,0,1
